season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,games_played_post_asg,games_played_pre_asg,win_pct_post_asg,win_pct_pre_asg,wins_post_asg,wins_pre_asg,projected_wins_before_asg,actual_wins,projection_difference,post_asg_win_pct_drop,season_length,avg_starter_minutes_per_game_post_asg,avg_starter_minutes_per_game_pre_asg,avg_starter_minutes_per_player_post_asg,avg_starter_minutes_per_player_pre_asg,total_starter_minutes_post_asg,total_starter_minutes_pre_asg,starter_minutes_change_per_game,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change,win_projection_drop,starter_minutes_drop,players_used_increase,lineup_experimentation_increase,raw_tanking_score,lottery_candidate,tanking_score,score_note
2020-21,1610612743,DEN,Denver Nuggets,36,36,0.722222222,0.583333333,26,21,41.999999976,47,5.000000024000002,0.13888888899999996,72,160.4333333,163.275,32.08666667,32.655,5775.6,5877.9,-2.841666667,11.2,11.47826087,13.3,14.13043478,17,20,-0.27826087,-0.830434783,-5.000000024000002,2.841666667,-0.27826087,-0.830434783,-3.2670290100000017,False,-0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612742,DAL,Dallas Mavericks,38,34,0.631578947,0.529411765,24,18,38.11764708,42,3.8823529200000024,0.10216718199999997,72,157.8837719,157.5892157,31.57675439,31.51784314,5999.583333,5358.033333,0.294556244,11.22580645,11.32,16.16129032,15.88,22,22,-0.094193548,0.281290323,-3.8823529200000024,-0.294556244,-0.094193548,0.281290323,-3.989812389000002,False,-0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612755,PHI,Philadelphia 76ers,36,36,0.694444444,0.666666667,25,24,48.000000024,49,0.999999975999998,0.02777777700000006,72,145.4611111,162.1638889,29.09222222,32.43277778,5236.6,5837.9,-16.70277778,12.43333333,11.04545455,14.7,14.59090909,20,22,1.387878788,0.109090909,-0.999999975999998,16.70277778,1.387878788,0.109090909,17.199747501,False,0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612738,BOS,Boston Celtics,36,36,0.472222222,0.527777778,17,19,38.000000016,36,-2.0000000160000013,-0.055555556000000006,72,161.0439815,152.8134259,32.2087963,30.56268519,5797.583333,5501.283333,8.230555556,11.32258065,10.92307692,16.48387097,16.5,22,23,0.399503722,-0.016129032,2.0000000160000013,-8.230555556,0.399503722,-0.016129032,-5.847180849999999,False,-0.0,Playoff/above-.500 team: score set to 0
2024-25,1610612763,MEM,Memphis Grizzlies,28,54,0.428571429,0.666666667,12,36,54.666666694,48,-6.666666694,-0.238095238,82,154.1142857,143.7098765,30.82285714,28.74197531,4315.2,7760.333333,10.40440917,11.35714286,11.37037037,20.0,20.03703704,29,30,-0.013227513,-0.037037037,6.666666694,-10.40440917,-0.013227513,-0.037037037,-3.7880070259999994,False,-0.0,Playoff/above-.500 team: score set to 0
2024-25,1610612754,IND,Indiana Pacers,29,53,0.689655172,0.566037736,20,30,46.415094352,50,3.584905648000003,0.12361743600000008,82,155.5166667,159.577044,31.10333333,31.91540881,4509.983333,8457.583333,-4.060377358,11.44827586,10.96078431,16.13793103,15.56862745,23,24,0.487491548,0.569303584,-3.584905648000003,4.060377358,0.487491548,0.569303584,1.5322668419999972,False,0.0,Playoff/above-.500 team: score set to 0
2024-25,1610612760,OKC,Oklahoma City Thunder,28,54,0.857142857,0.814814815,24,44,66.81481483,68,1.185185169999997,0.042328042000000066,82,156.8135802,154.2570988,31.36271605,30.85141975,4233.966667,8329.883333,2.556481481,10.85714286,11.35185185,16.21428571,16.75925926,23,24,-0.494708995,-0.544973545,-1.185185169999997,-2.556481481,-0.494708995,-0.544973545,-4.781349190999997,False,-0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612751,BKN,Brooklyn Nets,35,37,0.685714286,0.648648649,24,24,46.702702728,48,1.2972972720000016,0.037065636999999985,72,156.3033333,162.1797297,31.26066667,32.43594595,5470.616667,6000.65,-5.876396396,10.44827586,10.55555556,16.62068966,13.62962963,20,20,-0.107279693,2.991060026,-1.2972972720000016,5.876396396,-0.107279693,2.991060026,7.462879456999998,False,0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612752,NYK,New York Knicks,35,37,0.628571429,0.513513514,22,19,36.972973008,41,4.027026992000003,0.11505791499999996,72,167.9528571,160.1301802,33.59057143,32.02603604,5878.35,5924.816667,7.822676963,10.96551724,10.6,11.86206897,11.8,16,17,0.365517241,0.062068966,-4.027026992000003,-7.822676963,0.365517241,0.062068966,-11.422117748000003,False,-0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612756,PHX,Phoenix Suns,37,35,0.72972973,0.685714286,27,24,49.371428591999994,51,1.6285714080000062,0.044015444000000015,72,159.240991,159.0890476,31.8481982,31.81780952,5891.916667,5568.116667,0.151943372,10.85294118,11.52,13.5,14.92,20,20,-0.667058824,-1.42,-1.6285714080000062,-0.151943372,-0.667058824,-1.42,-3.867573604000006,False,-0.0,Playoff/above-.500 team: score set to 0
